編號,國文,英文,數學,自然,社會
1,64,93,52,91,83
2,54,57,70,79,82
3,72,92,65,84,67
4,97,100,92,98,96
5,98,59,64,85,88
6,66,52,62,65,80
7,91,76,96,87,88
8,61,89,56,66,96
9,63,97,100,92,82
10,87,56,79,74,60
11,67,60,88,100,59
12,60,56,76,57,72
13,62,99,88,98,95
14,92,90,62,99,100
15,95,75,52,72,100
16,60,100,61,54,52
17,77,67,57,73,100
18,87,82,80,100,83
19,61,65,94,63,53
20,56,60,70,97,71
21,64,64,89,98,93
22,53,85,59,72,84
23,92,50,71,97,55
24,70,72,58,87,76
25,53,81,98,94,60
26,60,89,67,85,53
27,63,73,97,55,84
28,71,53,52,66,82
29,73,76,90,53,85
30,82,65,59,50,97
31,52,57,70,94,78
32,50,56,94,88,93
33,88,84,70,62,95
34,79,63,90,62,92
35,59,72,89,72,64
36,92,94,68,87,92
37,78,85,54,97,82
38,95,58,73,93,65
39,68,85,72,65,95
40,89,65,66,69,76
41,51,79,61,82,54
42,85,91,94,70,65
43,60,75,75,65,88
44,83,98,89,67,63
45,59,66,81,98,62
46,93,70,80,66,81
47,93,78,94,72,66
48,87,57,67,54,98
49,93,92,79,81,76
50,54,58,74,90,77
